维多利亚女王学校	苏格兰
维多利亚女王学校	1908年
纽波特纽斯造船厂	弗吉尼亚州纽波特
纽波特纽斯造船厂	美国
弗吉尼亚州纽波特	美国
17号	中国北京市西城区
墨西哥湾	墨西哥
东亚	亚洲
福斯特	2007年8月3日
福斯特	亚特兰大
科特·唐纳德·柯本	1967年2月20日
德国	欧洲
科特·唐纳德·柯本	华盛顿州
科特·唐纳德·柯本	亚伯
马勒	奥地利
马勒	波希米亚Kali?tě
Tyrol	奥地利
密西西比河	美国
明尼苏达河	美国
青森县青森市	日本
金柏莉	1970年4月24日
法兰西岛大区埃松省	法国
巴德	奥地利
萨尔茨卡默	奥地利
萨尔茨卡默	奥地利
南昌邨	香港
九龙	香港
南昌邨	九龙
亚速海	俄罗斯罗斯托夫州
云南省	中国
安平渔港	台湾
坎昆	墨西哥
坎昆	加勒比海
淄博二	1952年
淄博二	博山
杜伊斯堡	鲁尔区西部
杜伊斯堡	莱茵河
杜伊斯堡	鲁尔河
西德尼·伊格尔伯格	威斯康星州密尔沃基
琉球群岛西南	台湾
石壁村	宁化县
石壁村	中国福建省宁化县石壁镇
安新县	河北省保定市
布兰德	德国
布兰德	邦齐恩多夫
邦齐恩多夫	德国
密西西比河	明尼苏达州
